date,store_name,machine_number,machine_name,games,diff,bb,rb,art,total_rate,bb_rate,rb_rate,art_rate,graph_max,graph_min,graph_drawdown,graph_points
2026-08-19,楽園大宮店,2396,マギアレコード 魔法少女まどか☆マギカ外伝,388,-476,1,0,0,388.0,388.0,,,,,,
2026-08-19,楽園大宮店,2397,マギアレコード 魔法少女まどか☆マギカ外伝,5020,-2333,17,0,8,200.8,295.3,,627.5,,,,
2026-08-19,楽園大宮店,2398,マギアレコード 魔法少女まどか☆マギカ外伝,2791,-2476,10,0,4,199.4,279.1,,697.8,,,,
2026-08-19,楽園大宮店,2399,マギアレコード 魔法少女まどか☆マギカ外伝,792,-571,3,0,1,198.0,264.0,,792.0,,,,
2026-08-19,楽園大宮店,2400,マギアレコード 魔法少女まどか☆マギカ外伝,2820,-2523,10,0,3,216.9,282.0,,940.0,,,,
2026-08-19,楽園大宮店,2401,マギアレコード 魔法少女まどか☆マギカ外伝,1406,572,3,0,2,281.2,468.7,,703.0,,,,
2026-08-19,楽園大宮店,2402,マギアレコード 魔法少女まどか☆マギカ外伝,1214,-1095,4,0,1,242.8,303.5,,1214.0,,,,
2026-08-19,楽園大宮店,2403,マギアレコード 魔法少女まどか☆マギカ外伝,4585,-2762,11,0,5,286.6,416.8,,917.0,,,,
2026-08-19,楽園大宮店,2404,マギアレコード 魔法少女まどか☆マギカ外伝,1456,143,5,0,4,161.8,291.2,,364.0,,,,
2026-08-19,楽園大宮店,2405,マギアレコード 魔法少女まどか☆マギカ外伝,9062,-3476,24,0,20,206.0,377.6,,453.1,,,,
2026-08-19,楽園大宮店,2406,マギアレコード 魔法少女まどか☆マギカ外伝,6202,3238,20,0,14,182.4,310.1,,443.0,,,,
2026-08-19,楽園大宮店,2407,マギアレコード 魔法少女まどか☆マギカ外伝,5547,1762,16,0,12,198.1,346.7,,462.2,,,,
2026-08-19,楽園大宮店,2408,マギアレコード 魔法少女まどか☆マギカ外伝,1010,286,1,0,4,202.0,1010.0,,252.5,,,,
2026-08-19,楽園大宮店,2409,マギアレコード 魔法少女まどか☆マギカ外伝,4278,-1857,14,0,9,186.0,305.6,,475.3,,,,
2026-08-19,楽園大宮店,2410,マギアレコード 魔法少女まどか☆マギカ外伝,2219,-952,4,0,3,317.0,554.8,,739.7,,,,
2026-08-19,楽園大宮店,2411,マギアレコード 魔法少女まどか☆マギカ外伝,729,-95,3,0,1,182.2,243.0,,729.0,,,,
2026-08-19,楽園大宮店,2412,マギアレコード 魔法少女まどか☆マギカ外伝,1998,-190,6,0,3,222.0,333.0,,666.0,,,,
2026-08-19,楽園大宮店,2413,マギアレコード 魔法少女まどか☆マギカ外伝,921,-476,3,0,1,230.2,307.0,,921.0,,,,
2026-08-19,楽園大宮店,2414,マギアレコード 魔法少女まどか☆マギカ外伝,2368,334,5,0,7,197.3,473.6,,338.3,,,,
2026-08-19,楽園大宮店,2415,マギアレコード 魔法少女まどか☆マギカ外伝,1004,-285,4,0,2,167.3,251.0,,502.0,,,,
2026-08-19,楽園大宮店,2416,マギアレコード 魔法少女まどか☆マギカ外伝,1378,286,3,0,4,196.9,459.3,,344.5,,,,
2026-08-19,楽園大宮店,2417,マギアレコード 魔法少女まどか☆マギカ外伝,2469,810,9,0,7,154.3,274.3,,352.7,,,,
2026-08-19,楽園大宮店,2418,マギアレコード 魔法少女まどか☆マギカ外伝,6628,-1523,20,0,9,228.6,331.4,,736.4,,,,
2026-08-19,楽園大宮店,2419,かぐや様は告らせたい,3290,-619,15,2,13,109.7,219.3,1645.0,253.1,,,,
2026-08-19,楽園大宮店,2420,かぐや様は告らせたい,779,-714,2,0,3,155.8,389.5,,259.7,,,,
2026-08-19,楽園大宮店,2421,かぐや様は告らせたい,3626,5191,37,3,14,67.1,98.0,1208.7,259.0,,,,
2026-08-19,楽園大宮店,2422,かぐや様は告らせたい,2317,-1095,9,4,10,100.7,257.4,579.2,231.7,,,,
2026-08-19,楽園大宮店,2423,かぐや様は告らせたい,848,-762,2,1,3,141.3,424.0,848.0,282.7,,,,
2026-08-19,楽園大宮店,2424,かぐや様は告らせたい,2147,143,11,5,11,79.5,195.2,429.4,195.2,,,,
2026-08-19,楽園大宮店,2425,かぐや様は告らせたい,4928,-2381,17,9,27,93.0,289.9,547.6,182.5,,,,
2026-08-19,楽園大宮店,2426,かぐや様は告らせたい,2360,4810,21,3,10,69.4,112.4,786.7,236.0,,,,
2026-08-19,楽園大宮店,2427,かぐや様は告らせたい,2432,-2904,3,4,8,162.1,810.7,608.0,304.0,,,,
2026-08-19,楽園大宮店,2428,かぐや様は告らせたい,2047,-142,10,3,13,78.7,204.7,682.3,157.5,,,,
2026-08-19,楽園大宮店,2429,かぐや様は告らせたい,4352,2477,29,6,15,87.0,150.1,725.3,290.1,,,,
2026-08-19,楽園大宮店,2430,かぐや様は告らせたい,1977,667,10,8,8,76.0,197.7,247.1,247.1,,,,
2026-08-19,楽園大宮店,2431,かぐや様は告らせたい,1042,-809,3,0,3,173.7,347.3,,347.3,,,,
2026-08-19,楽園大宮店,2432,かぐや様は告らせたい,2096,-95,8,4,9,99.8,262.0,524.0,232.9,,,,
