台番号	G数	差枚	BB	RB
スマスロ サンダーV
2351	4,836	-238	19	10
2352	6,228	+1,334	30	18
2353	3,538	-619	12	10
2354	2,716	-619	9	5
2355	4,263	-95	16	13
2356	6,186	-1,190	19	22
2357	1,463	-428	4	5
2358	5,987	-48	26	14
2496	4,606	+1,048	23	13
2497	2,584	-1,428	5	6
2498	3,369	-1,190	8	10
2499	6,163	+1,858	32	18
2500	2,453	-523	10	4
2501	5,445	+429	26	11
2502	4,812	-95	18	14
2503	5,583	+238	22	19
2504	3,065	-1,238	9	4
2505	3,953	-666	10	19
2506	3,080	+96	16	3
2507	5,111	-2,476	12	14
2508	2,974	+524	15	7
2509	5,985	+2,238	33	18
2510	6,912	-809	26	18
2511	4,603	-1,476	13	10
2512	4,076	-714	15	10
2513	4,196	+191	19	11
2514	4,682	-285	17	13
2515	4,380	-2,714	8	11
2516	3,233	+905	18	6
2517	5,400	-1,762	19	9
2518	3,427	+191	16	7
2519	6,574	+96	28	14
スマスロ北斗の拳
2359	5,484	-2,095	44	15
2360	1,663	+143	18	3
2361	5,089	-1,333	46	14
2362	2,545	+238	30	8
2363	5,625	-2,762	41	14
2364	4,408	+667	47	14
2365	2,201	-2,381	7	5
2366	3,392	-1,666	23	9
2383	3,219	-666	28	9
2384	4,150	-1,904	33	11
2385	3,030	-428	36	4
2386	4,261	+143	47	14
2387	2,630	-857	23	4
2388	3,622	-3,142	18	7
2389	1,981	+5,810	63	2
2390	4,470	+3,762	67	8
北斗の拳 転生の章2
2367	3,706	+667	0	11
2368	980	-1,000	0	2
2369	3,722	-1,190	0	10
2370	1,329	-428	0	2
2371	5,826	-3,095	0	10
2372	788	-666	0	1
2373	7,251	+238	0	16
2374	1,146	-1,666	0	1
2375	7,521	-4,095	0	15
2376	1,528	-952	0	3
2377	1,379	-1,238	0	2
2378	3,694	+7,810	0	5
2379	6,987	+4,096	0	15
2380	1,428	+1,715	0	6
2381	5,711	-3,666	0	12
2382	3,197	-2,238	0	6
2520	3,069	-1,476	24	7
2521	3,499	+3,667	60	9
2522	1,523	-1,142	10	3
2523	3,314	+6,381	75	11
2524	2,673	-2,333	14	4
2525	1,084	-571	7	2
2526	4,112	-476	42	9
2527	2,124	-1,190	15	6
2528	3,104	+477	43	11
2529	776	+2,000	29	2
2530	3,713	-809	35	9
2531	2,353	-2,047	12	5
2532	3,298	+1,477	63	11
2533	3,815	-381	43	12
2534	3,447	+1,334	49	8
2535	3,638	-1,857	28	10
2536	278	+477	6	1
2537	734	+905	14	4
2538	2,580	-857	24	7
2539	4,272	-1,238	37	16
2540	1,901	-238	20	7
2541	3,657	-476	37	11
