date,store_name,machine_number,machine_name,games,diff,bb,rb,art,total_rate,bb_rate,rb_rate,art_rate,graph_max,graph_min,graph_drawdown,graph_points
2026-08-22,YASUDA7,32,化物語,3576,-1560,27,13,,89.4,132.4,275.1,,-9,-3055,3046,176
2026-08-22,YASUDA7,33,化物語,1788,-1743,7,3,,178.8,255.4,596.0,,-5,-1748,1743,176
2026-08-22,YASUDA7,34,モンキーターンV,1058,-227,11,5,,66.1,96.2,211.6,,391,-314,623,176
2026-08-22,YASUDA7,35,モンキーターンV,1660,32,13,5,,92.2,127.7,332.0,,959,-1168,1168,176
2026-08-22,YASUDA7,36,モンキーターンV,1767,-1236,14,7,,84.1,126.2,252.4,,0,-1314,1314,176
2026-08-22,YASUDA7,37,モンキーターンV,4524,1309,53,24,,58.8,85.4,188.5,,1386,-150,868,176
2026-08-22,YASUDA7,38,モンキーターンV,2890,-236,33,8,,70.5,87.6,361.2,,341,-1350,1691,176
2026-08-22,YASUDA7,39,モンキーターンV,4122,-27,52,20,,57.2,79.3,206.1,,277,-1059,1059,176
2026-08-22,YASUDA7,40,モンキーターンV,4068,2431,59,14,,55.7,68.9,290.6,,3468,9,1762,167
2026-08-22,YASUDA7,41,戦国乙女5 業火を穿つ宿焔の双刃,6181,-4872,39,10,,126.1,158.5,618.1,,0,-4881,4881,176
2026-08-22,YASUDA7,42,戦国乙女5 業火を穿つ宿焔の双刃,4909,-5455,21,2,,213.4,233.8,2454.5,,0,-5473,5473,176
2026-08-22,YASUDA7,43,戦国乙女5 業火を穿つ宿焔の双刃,5046,400,64,22,,58.7,78.8,229.4,,2691,-936,2300,176
2026-08-22,YASUDA7,44,戦国乙女5 業火を穿つ宿焔の双刃,4995,798,44,15,,84.7,113.5,333.0,,4495,9,3706,168
2026-08-22,YASUDA7,45,戦国乙女5 業火を穿つ宿焔の双刃,4271,-509,49,18,,63.7,87.2,237.3,,2782,-518,3300,176
2026-08-22,YASUDA7,46,戦国乙女5 業火を穿つ宿焔の双刃,6228,-3367,54,17,,87.7,115.3,366.4,,-9,-3670,3661,176
2026-08-22,YASUDA7,47,戦国乙女5 業火を穿つ宿焔の双刃,3796,159,42,12,,70.3,90.4,316.3,,1382,-745,2127,176
2026-08-22,YASUDA7,48,戦国乙女5 業火を穿つ宿焔の双刃,4534,3082,49,18,,67.7,92.5,251.9,,4527,-718,1454,176
2026-08-22,YASUDA7,49,戦国乙女5 業火を穿つ宿焔の双刃,5281,3527,84,31,,45.9,62.9,170.4,,4236,-1709,2182,175
2026-08-22,YASUDA7,50,戦国乙女5 業火を穿つ宿焔の双刃,5485,128,56,19,,73.1,97.9,288.7,,2092,-1110,2073,176
2026-08-22,YASUDA7,51,攻殻機動隊,2527,941,19,7,,97.2,133.0,361.0,,1332,-1027,1468,176
2026-08-22,YASUDA7,52,攻殻機動隊,5446,-1018,29,24,,102.8,187.8,226.9,,651,-1784,2435,176
2026-08-22,YASUDA7,53,攻殻機動隊,5079,-4422,18,20,,133.7,282.2,253.9,,440,-4431,4871,176
2026-08-22,YASUDA7,54,攻殻機動隊,3325,-3734,9,15,,138.5,369.4,221.7,,-9,-3743,3734,176
2026-08-22,YASUDA7,55,攻殻機動隊,5373,-1954,27,22,,109.7,199.0,244.2,,720,-1959,2679,176
2026-08-22,YASUDA7,56,攻殻機動隊,3138,4818,26,13,,80.5,120.7,241.4,,5345,-764,946,175
